test_system,train_systems,model,strategy,n_train,n_test,daylight_rows_test,mae_normalized,rmse_normalized,r2_normalized,mae_W,rmse_W,pct_prediction_lt_0,pct_prediction_gt_1,daylight_mae_normalized,daylight_rmse_normalized,daylight_r2_normalized,daylight_mae_W,daylight_rmse_W
1239,"[10, 34, 1430]",mean_global,24h_model,7477,2470,2312,0.22351817504510949,0.2537416553700518,-0.01837439838054311,4506.126408909407,5115.431772260244,0.0,0.0,0.21699051179203985,0.24861031585926432,-0.003465525606167308,4374.528717727523,5011.983967722769
1239,"[10, 34, 1430]",linear_ridge,24h_model,7477,2470,2312,0.1339162965886179,0.1686107940933413,0.5503292044627246,2699.752539226537,3399.1936089217606,8.54251012145749,0.0,0.13693846790325373,0.1722408191778735,0.5183447141652842,2760.6795129295956,3472.3749146259297
1239,"[10, 34, 1430]",linear,24h_model,7477,2470,2312,0.13346971379312914,0.1679513804342969,0.5538395282658085,2690.7494300694834,3385.899829555425,8.259109311740891,0.0,0.13648797996785794,0.1715625726274571,0.5221305512107165,2751.597676152016,3458.7014641695355
1239,"[10, 34, 1430]",random_forest,24h_model,7477,2470,2312,0.14282315651356658,0.18975487934495866,0.4304788729137973,2879.314835313502,3825.458367594367,2.42914979757085,0.0,0.14683725818835092,0.19423014425055693,0.38751221554132,2960.2391250771548,3915.6797080912274
1239,"[10, 34, 1430]",hist_gradient_boosting,24h_model,7477,2470,2312,0.1358807691539536,0.18456342207786094,0.4612153635527544,2739.356306143705,3720.798589089677,3.279352226720648,0.0,0.1399138231980351,0.18905441384785945,0.4197197244115891,2820.662675672388,3811.3369831728464
1239,"[10, 34, 1430]",mean_global,daylight_model_night_zero,7477,2470,2312,0.2167373331430653,0.2518846625485309,-0.0035231202673682294,4369.424636164196,5077.994796978383,0.0,0.0,0.23064763576778424,0.26028480450843566,-0.0999217636973948,4649.856337078531,5247.341658890063
1239,"[10, 34, 1430]",linear_ridge,daylight_model_night_zero,7477,2470,2312,0.14418085615980836,0.18056825240005,0.48428860829758646,2906.6860601817366,3640.255968385008,12.186234817813766,0.0,0.15313271442321483,0.18654636027716737,0.43501394864845777,3087.155522772011,3760.7746231876945
1239,"[10, 34, 1430]",linear,daylight_model_night_zero,7477,2470,2312,0.14355802377123578,0.17976065338029387,0.4888913735003082,2894.129759228113,3623.9747721467243,12.024291497975709,0.0,0.15246731822954082,0.1857112180146755,0.4400613539040098,3073.741135507543,3743.938155175858
1239,"[10, 34, 1430]",random_forest,daylight_model_night_zero,7477,2470,2312,0.13803083082360276,0.18766519838719956,0.44295353872889964,2782.701549403832,3783.3303994859425,2.753036437246964,0.0,0.1465624018884277,0.19388519867074178,0.38968579520360547,2954.6980220707023,3908.725605202154
1239,"[10, 34, 1430]",hist_gradient_boosting,daylight_model_night_zero,7477,2470,2312,0.14266721939118954,0.1949336585810593,0.39896798944871414,2876.171142926381,3929.862556994155,5.7894736842105265,0.0,0.15151563707957794,0.20140114036818263,0.3414511182590012,3054.5552435242907,4060.2469898225613
1430,"[10, 34, 1239]",mean_global,24h_model,8355,1592,1366,0.2859811238927681,0.3294764736684206,-0.15392621215210767,206112.3156119958,237460.28410230405,0.0,0.0,0.29233975915935445,0.33920991410018697,-0.39674229684149265,210695.11122132992,244475.36929028673
1430,"[10, 34, 1239]",linear_ridge,24h_model,8355,1592,1366,0.19778417641900553,0.24131119004608517,0.381009272605182,142547.0116287057,173917.8008900145,10.113065326633166,0.0,0.2102528032993284,0.252041996981615,0.22887455305215632,151533.400393892,181651.70806458956
1430,"[10, 34, 1239]",linear,24h_model,8355,1592,1366,0.20272681386620547,0.24727260016740807,0.3500481089305998,146109.26928965162,178214.30839265435,10.301507537688442,0.0,0.21534493152059894,0.2581989084668386,0.19074011125886048,155203.39904552605,186089.1173102199
1430,"[10, 34, 1239]",random_forest,24h_model,8355,1592,1366,0.17778945192559845,0.24451270978100742,0.36447579240796135,128136.41379181732,176225.20019336767,2.135678391959799,0.0,0.19673352289337384,0.26051041244547574,0.1761855905480022,141789.7846197124,187755.06445770327
1430,"[10, 34, 1239]",hist_gradient_boosting,24h_model,8355,1592,1366,0.17250910751940793,0.24050508348601357,0.38513787576142755,124330.76397138769,173336.82377003971,4.1457286432160805,0.0,0.19010668983746273,0.25635250014129524,0.20227293705977112,137013.69349965613,184758.3739018343
1430,"[10, 34, 1239]",mean_global,daylight_model_night_zero,8355,1592,1366,0.24601947147369954,0.29602360306938946,0.06850205494941908,177311.15348052472,213350.1312041704,0.0,0.0,0.2769063467350481,0.3162734727317626,-0.21424058717887684,199571.94221888384,227944.61726723594
1430,"[10, 34, 1239]",linear_ridge,daylight_model_night_zero,8355,1592,1366,0.18273329052068682,0.2319958008913067,0.4278769187300291,131699.53714406939,167204.01361838257,1.256281407035176,0.0,0.2031496848922983,0.24622669077167209,0.2640480376012244,146414.0408955772,177460.50057295948
1430,"[10, 34, 1239]",linear,daylight_model_night_zero,8355,1592,1366,0.18769587180565006,0.23830768423951712,0.39632204973877816,135276.1687277681,171753.1141851048,1.1306532663316584,0.0,0.2089333081760915,0.2531545224124591,0.2220519593664506,150582.41386867262,182453.52739310754
1430,"[10, 34, 1239]",random_forest,daylight_model_night_zero,8355,1592,1366,0.1635213953861976,0.22790206395596502,0.44788984268095744,117853.14008274034,164253.5755343431,0.12562814070351758,0.0,0.1807592478102289,0.2417300063924004,0.2906830497821591,130276.80508178817,174219.6502071308
1430,"[10, 34, 1239]",hist_gradient_boosting,daylight_model_night_zero,8355,1592,1366,0.16679962735150378,0.23711873196898903,0.4023307003265728,120215.82742477581,170896.21250468979,2.0728643216080402,0.0,0.1845798519747731,0.25185002023376624,0.23004881589722592,133030.39091525847,181513.34658287998
